aX,aY,aZ,gX,gY,gZ
0.560,-1.050,-0.273,-0.237,-39.403,4.777
0.570,-1.053,-0.273,1.846,-55.114,5.411
0.581,-1.056,-0.271,4.356,-71.441,6.354
0.592,-1.060,-0.267,7.271,-88.163,7.647
0.603,-1.063,-0.263,10.589,-105.804,9.361
0.614,-1.065,-0.257,14.148,-123.372,11.496
0.625,-1.068,-0.252,18.002,-140.753,14.057
0.635,-1.070,-0.247,22.382,-157.843,17.187
0.647,-1.071,-0.241,26.750,-174.372,20.685
0.659,-1.073,-0.235,31.027,-190.447,24.552
0.672,-1.074,-0.227,35.210,-205.535,28.811
0.685,-1.074,-0.219,39.394,-219.565,33.674
0.698,-1.074,-0.209,43.938,-232.646,38.905
0.711,-1.072,-0.197,48.692,-244.886,44.454
0.724,-1.069,-0.183,53.592,-256.136,50.150
0.737,-1.065,-0.165,58.624,-265.936,55.900
0.749,-1.060,-0.146,63.670,-274.650,61.638
0.760,-1.054,-0.125,68.714,-282.713,67.389
0.769,-1.047,-0.102,73.568,-290.287,72.925
0.777,-1.038,-0.080,78.193,-297.414,78.163
0.783,-1.029,-0.064,82.536,-305.625,80.955
0.809,-1.036,-0.088,87.073,-275.865,80.595
1.181,-0.933,0.364,90.795,-89.337,92.081
1.094,-0.915,0.481,108.815,-72.528,86.352
0.948,-0.832,0.548,106.498,-69.012,87.155
0.904,-0.813,0.607,98.987,-70.340,86.901
0.870,-0.806,0.635,93.509,-80.627,85.164
0.848,-0.777,0.641,84.657,-90.220,83.598
0.831,-0.766,0.623,73.397,-95.488,81.800
0.817,-0.774,0.598,62.825,-97.234,79.737
0.811,-0.781,0.571,58.890,-97.791,77.819
0.803,-0.788,0.543,57.225,-97.794,76.370
0.792,-0.796,0.518,56.056,-97.533,75.416
0.779,-0.798,0.497,54.821,-96.777,74.469
0.762,-0.798,0.476,52.864,-95.580,73.212
0.742,-0.804,0.456,50.452,-94.158,71.545
0.725,-0.817,0.441,48.531,-92.503,69.763
0.712,-0.833,0.428,47.484,-90.609,68.054
