aX,aY,aZ,gX,gY,gZ
-0.080,-0.954,0.210,10.081,41.451,-5.775
-0.087,-0.951,0.208,10.073,44.385,-5.458
-0.096,-0.949,0.205,10.029,47.637,-5.179
-0.104,-0.947,0.202,9.949,51.067,-4.945
-0.112,-0.945,0.198,9.885,54.412,-4.753
-0.118,-0.944,0.195,9.886,57.635,-5.206
-0.124,-0.942,0.191,10.033,60.763,-5.061
-0.128,-0.941,0.187,10.297,63.816,-4.919
-0.133,-0.940,0.185,10.680,66.745,-4.805
-0.138,-0.938,0.183,11.145,69.642,-4.744
-0.144,-0.936,0.180,11.616,72.610,-4.753
-0.152,-0.934,0.178,11.998,75.658,-4.915
-0.162,-0.932,0.176,12.248,78.714,-5.209
-0.172,-0.930,0.173,12.328,81.726,-5.618
-0.181,-0.928,0.169,12.221,84.584,-6.070
-0.190,-0.926,0.164,11.960,87.172,-6.541
-0.198,-0.925,0.158,11.583,89.320,-7.007
-0.205,-0.924,0.153,11.119,91.099,-7.434
-0.212,-0.923,0.147,10.614,92.566,-7.799
-0.218,-0.923,0.141,10.095,93.744,-8.118
-0.224,-0.922,0.137,9.555,94.758,-8.396
-0.232,-0.922,0.132,8.950,95.674,-8.641
-0.241,-0.922,0.128,8.235,96.500,-8.863
-0.250,-0.922,0.123,7.417,97.242,-9.060
-0.259,-0.923,0.118,6.483,97.892,-9.219
-0.266,-0.923,0.112,5.499,98.424,-9.345
-0.273,-0.924,0.106,4.524,98.852,-9.439
-0.278,-0.925,0.098,3.639,99.184,-9.509
-0.283,-0.927,0.091,2.932,99.417,-9.541
-0.287,-0.928,0.082,2.402,99.525,-9.559
-0.292,-0.930,0.074,2.056,99.435,-9.580
-0.297,-0.932,0.066,1.886,99.177,-9.613
-0.302,-0.935,0.059,1.833,98.759,-9.651
-0.307,-0.937,0.053,1.854,98.213,-9.688
-0.312,-0.938,0.048,1.902,97.554,-9.706
-0.317,-0.939,0.044,1.968,96.774,-9.702
-0.321,-0.940,0.040,2.020,95.871,-9.662
-0.325,-0.941,0.036,2.061,94.936,-9.559
-0.328,-0.942,0.032,2.062,94.017,-9.386
-0.330,-0.941,0.028,1.993,93.161,-9.126
-0.332,-0.941,0.023,1.905,92.370,-8.830
-0.335,-0.941,0.018,1.791,91.643,-8.532
-0.338,-0.941,0.012,1.674,90.916,-8.244
-0.342,-0.941,0.006,1.546,90.167,-7.979
-0.346,-0.941,-0.001,1.412,89.381,-7.761
-0.350,-0.942,-0.006,1.283,88.563,-7.597
-0.353,-0.942,-0.011,1.146,87.691,-7.472
-0.356,-0.943,-0.016,0.999,86.700,-7.351
-0.359,-0.944,-0.019,0.872,85.678,-7.227
-0.362,-0.945,-0.023,0.781,84.664,-7.089
-0.364,-0.945,-0.025,0.682,83.617,-6.914
-0.365,-0.945,-0.028,0.563,82.558,-6.694
-0.368,-0.945,-0.031,0.414,81.572,-6.423
-0.371,-0.945,-0.035,0.248,80.693,-6.123
-0.374,-0.944,-0.039,0.052,79.914,-5.804
-0.378,-0.943,-0.044,-0.168,79.177,-5.485
-0.382,-0.942,-0.050,-0.402,78.345,-5.181
-0.385,-0.942,-0.056,-0.622,77.397,-4.896
-0.388,-0.942,-0.062,-0.784,76.323,-4.634
-0.391,-0.943,-0.068,-0.868,75.160,-4.374
-0.393,-0.944,-0.073,-0.869,73.895,-4.109
-0.394,-0.944,-0.078,-0.781,72.593,-3.828
-0.396,-0.945,-0.082,-0.587,71.291,-3.524
-0.398,-0.945,-0.085,-0.340,69.985,-3.191
-0.400,-0.944,-0.088,-0.067,68.641,-2.835
-0.402,-0.943,-0.090,0.210,67.266,-2.458
-0.404,-0.942,-0.092,0.437,65.857,-2.054
-0.406,-0.940,-0.094,0.594,64.425,-1.632
-0.407,-0.938,-0.095,0.660,62.986,-1.203
-0.408,-0.935,-0.097,0.652,61.531,-0.786
-0.409,-0.933,-0.099,0.587,60.089,-0.391
-0.409,-0.932,-0.101,0.487,58.682,-0.023
-0.410,-0.930,-0.104,0.406,57.327,0.298
-0.411,-0.930,-0.107,0.374,56.025,0.573
-0.413,-0.929,-0.110,0.402,54.799,0.795
-0.414,-0.929,-0.114,0.500,53.625,0.966
-0.416,-0.929,-0.116,0.721,52.495,1.079
