aX,aY,aZ,gX,gY,gZ
0.166,-1.004,0.274,-5.315,1.798,3.480
0.165,-1.004,0.275,-5.009,1.726,3.817
0.164,-1.005,0.277,-4.664,1.669,4.152

1.087,-1.357,0.445,-133.694,2.985,14.004
0.979,-1.708,0.425,-48.974,-10.666,7.671
0.899,-1.824,0.441,48.398,-20.451,6.044
0.868,-1.778,0.395,171.867,-15.480,10.041
0.860,-1.662,0.286,216.597,9.155,58.185
0.777,-1.504,0.375,209.510,12.733,70.282
0.702,-1.487,0.359,180.936,12.160,60.100
0.672,-1.440,0.367,125.227,8.715,33.177
0.648,-1.412,0.368,55.853,3.458,5.210
0.636,-1.421,0.344,0.957,0.407,-11.901
0.637,-1.478,0.317,-28.135,0.501,-27.245
0.651,-1.511,0.295,-29.713,2.889,-26.094
0.650,-1.555,0.297,-26.806,40.760,-24.548
0.657,-1.557,0.301,-22.376,80.363,-12.112
0.623,-1.537,0.267,-8.490,96.554,-7.124
0.575,-1.502,0.236,5.757,94.045,-5.206
0.523,-1.460,0.219,10.743,87.784,-5.251
0.486,-1.426,0.220,10.237,80.917,-5.342
0.468,-1.401,0.225,7.995,75.867,-4.612
0.456,-1.390,0.229,6.744,72.731,-3.146
0.444,-1.386,0.234,7.176,70.744,-1.857
0.433,-1.380,0.234,9.883,69.205,-0.525
0.418,-1.364,0.231,13.463,67.546,0.726
0.398,-1.341,0.227,15.668,65.756,1.512
0.379,-1.316,0.223,16.458,63.839,1.872
0.361,-1.294,0.221,16.295,61.930,1.827
0.344,-1.275,0.219,15.641,60.103,1.555
0.330,-1.261,0.219,14.557,58.410,1.236
0.317,-1.250,0.217,13.337,56.805,1.004
0.303,-1.241,0.215,12.411,55.263,0.857
0.291,-1.234,0.211,11.762,53.760,0.751
0.278,-1.225,0.207,11.214,52.329,0.636
0.266,-1.217,0.202,10.665,50.924,0.449
0.255,-1.208,0.198,10.068,49.525,0.171
0.244,-1.199,0.193,9.327,48.117,-0.146
0.234,-1.193,0.189,8.478,46.720,-0.451
0.224,-1.188,0.185,7.649,45.339,-0.730
0.215,-1.184,0.181,6.974,43.976,-1.002
0.206,-1.180,0.176,6.448,42.638,-1.261
0.198,-1.177,0.172,5.983,41.324,-1.407
0.189,-1.172,0.168,5.575,40.025,-1.468
0.181,-1.168,0.165,5.189,38.744,-1.504
0.173,-1.164,0.161,4.794,37.495,-1.565
0.166,-1.160,0.159,4.405,36.287,-1.637
0.158,-1.156,0.156,4.025,35.137,-1.694
0.152,-1.153,0.152,3.684,34.043,-1.706
0.145,-1.149,0.148,3.396,33.004,-1.713
0.139,-1.146,0.143,3.216,31.912,-1.624
0.132,-1.143,0.141,2.996,31.000,-1.517
0.127,-1.141,0.138,2.751,30.157,-1.427
0.121,-1.137,0.133,2.578,29.256,-1.443
0.115,-1.133,0.130,2.439,28.363,-1.603
0.109,-1.128,0.128,2.207,27.543,-1.792
0.104,-1.124,0.125,1.919,26.842,-1.948
0.099,-1.121,0.123,1.654,26.153,-2.064
0.094,-1.117,0.120,1.508,25.456,-2.151
0.088,-1.113,0.118,1.403,24.769,-2.203
0.083,-1.109,0.116,1.283,24.086,-2.196
0.078,-1.105,0.114,1.169,23.378,-2.140
0.072,-1.102,0.112,1.078,22.639,-2.045
0.067,-1.099,0.111,1.026,21.888,-1.944
0.062,-1.096,0.109,0.979,21.154,-1.864
0.058,-1.093,0.107,0.917,20.474,-1.805
0.053,-1.090,0.106,0.843,19.829,-1.770
0.049,-1.087,0.105,0.759,19.209,-1.766
0.045,-1.084,0.104,0.678,18.624,-1.799
0.041,-1.082,0.103,0.590,18.066,-1.842
0.037,-1.080,0.101,0.521,17.520,-1.873
0.034,-1.077,0.100,0.483,16.960,-1.891
0.030,-1.075,0.099,0.473,16.391,-1.867
0.027,-1.073,0.097,0.482,15.806,-1.759
0.023,-1.071,0.096,0.518,15.212,-1.599
0.020,-1.069,0.095,0.581,14.610,-1.432
0.017,-1.068,0.094,0.665,14.023,-1.291
0.014,-1.066,0.092,0.732,13.482,-1.213
0.011,-1.064,0.091,0.771,12.990,-1.204
0.009,-1.062,0.090,0.784,12.528,-1.212
0.006,-1.060,0.089,0.783,12.075,-1.225
0.004,-1.058,0.089,0.762,11.618,-1.244
0.001,-1.057,0.088,0.731,11.158,-1.235
-0.001,-1.056,0.087,0.710,10.699,-1.190
-0.003,-1.054,0.087,0.714,10.252,-1.117
-0.005,-1.053,0.086,0.745,9.803,-1.019
-0.007,-1.051,0.086,0.782,9.344,-0.919
-0.010,-1.050,0.086,0.813,8.893,-0.824
-0.012,-1.049,0.085,0.827,8.456,-0.770
-0.014,-1.047,0.085,0.823,8.051,-0.748
-0.016,-1.045,0.085,0.788,7.657,-0.730
-0.018,-1.044,0.084,0.748,7.255,-0.682
-0.019,-1.043,0.084,0.714,6.851,-0.583
-0.021,-1.042,0.084,0.705,6.430,-0.428
-0.024,-1.041,0.084,0.741,5.954,-0.227
-0.026,-1.041,0.084,0.802,5.451,0.010
-0.028,-1.040,0.084,0.858,4.929,0.251
-0.030,-1.039,0.084,0.902,4.398,0.470
-0.032,-1.039,0.084,0.896,3.872,0.649
-0.034,-1.038,0.084,0.833,3.399,0.753
-0.035,-1.038,0.084,0.725,2.984,0.794
-0.037,-1.038,0.084,0.582,2.613,0.801
-0.038,-1.038,0.084,0.374,2.268,0.838
-0.039,-1.039,0.083,0.116,1.937,0.945
-0.040,-1.039,0.083,-0.195,1.615,1.137
-0.041,-1.039,0.082,-0.575,1.292,1.424
-0.043,-1.040,0.080,-1.055,0.954,1.766
-0.044,-1.040,0.079,-1.582,0.582,2.135
-0.046,-1.041,0.078,-2.092,0.181,2.481
-0.047,-1.043,0.078,-2.543,-0.229,2.816
-0.049,-1.044,0.078,-2.921,-0.628,3.157
-0.050,-1.045,0.078,-3.217,-1.022,3.544
-0.052,-1.045,0.078,-3.462,-1.420,3.933
-0.053,-1.046,0.077,-3.674,-1.806,4.316
-0.054,-1.046,0.076,-3.833,-2.200,4.700
-0.056,-1.047,0.076,-3.918,-2.642,5.026
-0.058,-1.048,0.076,-4.026,-3.099,5.380
-0.059,-1.048,0.077,-4.169,-3.536,5.730
-0.060,-1.048,0.078,-4.301,-3.972,6.029
-0.062,-1.048,0.080,-4.382,-4.433,6.303
-0.064,-1.049,0.082,-4.335,-4.965,6.543
-0.066,-1.051,0.085,-4.038,-5.527,6.827

0.595,-1.169,0.648,-40.957,-2.149,11.000
0.491,-1.505,0.635,-23.632,-3.009,11.361
0.475,-1.606,0.654,56.987,-2.386,21.639
0.467,-1.554,0.615,149.761,12.329,29.012
0.449,-1.422,0.593,173.891,32.119,33.632
0.409,-1.286,0.605,168.354,32.695,30.204
0.368,-1.209,0.611,135.814,24.988,10.891
0.332,-1.171,0.616,65.084,8.702,-15.490
0.315,-1.185,0.606,-11.050,-12.560,-29.416
0.325,-1.228,0.590,-56.281,-19.573,-30.070
0.343,-1.291,0.572,-69.142,-17.294,-28.263
0.348,-1.349,0.554,-67.736,-9.504,-26.626
0.345,-1.369,0.530,-48.812,0.626,-25.790
0.337,-1.363,0.507,-26.362,10.927,-25.428
0.319,-1.340,0.483,-11.853,16.358,-25.133
0.293,-1.310,0.460,-6.568,16.344,-25.036
0.264,-1.287,0.440,-6.568,11.929,-25.345
0.239,-1.273,0.426,-7.731,2.523,-25.924
0.228,-1.268,0.420,-9.220,-5.634,-26.165
0.224,-1.268,0.417,-9.633,-8.978,-25.744
0.224,-1.269,0.415,-8.257,-9.158,-25.002
0.220,-1.261,0.414,-5.569,-4.431,-23.859
0.218,-1.257,0.403,-2.332,0.517,-21.839
0.205,-1.249,0.393,1.281,3.269,-20.229
0.189,-1.237,0.383,3.445,3.869,-18.783
0.174,-1.222,0.374,4.218,3.410,-17.106
0.162,-1.210,0.369,4.165,2.258,-15.428
0.153,-1.201,0.364,4.021,1.156,-14.011
0.147,-1.195,0.359,4.090,0.866,-12.914
0.141,-1.191,0.355,4.413,1.235,-11.866
0.135,-1.186,0.350,4.961,2.359,-10.837
0.128,-1.180,0.343,5.492,3.530,-9.847
0.119,-1.173,0.335,5.890,4.085,-8.821
0.109,-1.166,0.329,6.016,4.409,-7.849
0.101,-1.158,0.323,5.848,4.720,-7.076
0.094,-1.151,0.317,5.553,5.011,-6.465
0.088,-1.145,0.313,5.210,5.200,-5.944
0.081,-1.140,0.308,4.954,5.327,-5.461
0.075,-1.136,0.304,4.763,5.432,-5.048
0.068,-1.131,0.300,4.597,5.498,-4.676
0.063,-1.125,0.296,4.455,5.387,-4.187
0.056,-1.121,0.292,4.297,5.195,-3.691
0.050,-1.115,0.287,4.152,4.993,-3.373
0.044,-1.110,0.283,3.977,4.760,-3.007
0.040,-1.105,0.280,3.778,4.482,-2.575
0.035,-1.100,0.277,3.595,4.152,-2.189
0.030,-1.096,0.275,3.447,3.820,-1.937
0.026,-1.092,0.272,3.296,3.534,-1.765
0.023,-1.088,0.270,3.163,3.334,-1.611
0.020,-1.084,0.268,3.063,3.204,-1.474
0.017,-1.081,0.266,2.979,3.082,-1.342
0.013,-1.078,0.264,2.908,2.981,-1.223
0.010,-1.074,0.262,2.851,2.913,-1.062
0.008,-1.071,0.261,2.831,2.879,-0.916
0.005,-1.068,0.259,2.873,2.848,-0.810
0.001,-1.065,0.257,2.935,2.818,-0.766
-0.002,-1.062,0.256,2.969,2.779,-0.746
-0.005,-1.059,0.254,2.949,2.696,-0.714
-0.009,-1.056,0.253,2.893,2.583,-0.677
-0.012,-1.053,0.251,2.817,2.448,-0.690
-0.014,-1.051,0.250,2.729,2.298,-0.716
-0.018,-1.049,0.249,2.624,2.131,-0.733
-0.021,-1.047,0.247,2.529,1.964,-0.738
-0.024,-1.045,0.246,2.432,1.786,-0.743
-0.027,-1.043,0.244,2.324,1.595,-0.776
-0.030,-1.041,0.243,2.194,1.411,-0.813
-0.032,-1.039,0.241,2.051,1.235,-0.857
-0.035,-1.038,0.240,1.912,1.061,-0.917
-0.038,-1.036,0.238,1.796,0.901,-1.013
-0.040,-1.035,0.237,1.722,0.757,-1.117
-0.043,-1.034,0.235,1.673,0.620,-1.222
-0.045,-1.032,0.234,1.633,0.489,-1.332
-0.047,-1.031,0.232,1.589,0.345,-1.444
-0.049,-1.029,0.231,1.531,0.197,-1.531
-0.052,-1.028,0.230,1.455,0.026,-1.587
-0.055,-1.027,0.229,1.382,-0.166,-1.629
-0.057,-1.026,0.228,1.334,-0.356,-1.668
-0.059,-1.025,0.227,1.307,-0.533,-1.703
-0.061,-1.024,0.225,1.280,-0.670,-1.757
-0.063,-1.022,0.225,1.246,-0.764,-1.818
-0.065,-1.021,0.224,1.196,-0.852,-1.886
-0.067,-1.020,0.223,1.133,-0.953,-1.953
-0.069,-1.019,0.222,1.067,-1.059,-1.996
-0.070,-1.019,0.221,1.012,-1.161,-2.011
-0.072,-1.018,0.220,0.960,-1.255,-1.995
-0.073,-1.018,0.219,0.928,-1.322,-1.964
-0.075,-1.018,0.218,0.920,-1.368,-1.910
-0.076,-1.017,0.218,0.930,-1.389,-1.863
-0.077,-1.017,0.217,0.927,-1.379,-1.795
-0.078,-1.016,0.217,0.922,-1.364,-1.710
-0.079,-1.015,0.216,0.920,-1.355,-1.634
-0.080,-1.015,0.215,0.922,-1.349,-1.581
-0.082,-1.014,0.215,0.930,-1.336,-1.539
-0.083,-1.013,0.214,0.933,-1.300,-1.509
-0.083,-1.011,0.214,0.906,-1.243,-1.484
-0.084,-1.010,0.214,0.838,-1.211,-1.415
-0.085,-1.009,0.214,0.732,-1.205,-1.355
-0.086,-1.008,0.214,0.573,-1.222,-1.286
-0.088,-1.006,0.214,0.382,-1.250,-1.218
-0.089,-1.005,0.214,0.167,-1.274,-1.150
-0.090,-1.004,0.214,-0.078,-1.289,-1.096
-0.091,-1.003,0.214,-0.353,-1.304,-1.087
-0.092,-1.001,0.214,-0.689,-1.349,-1.105
-0.093,-1.000,0.214,-1.042,-1.436,-1.149
-0.095,-0.999,0.214,-1.396,-1.529,-1.225
-0.096,-0.999,0.214,-1.726,-1.648,-1.331
-0.097,-0.998,0.214,-2.030,-1.782,-1.469
-0.097,-0.998,0.214,-2.329,-1.916,-1.600
-0.098,-0.998,0.213,-2.649,-2.030,-1.745
