aX,aY,aZ,gX,gY,gZ
-0.761,-0.565,0.268,-0.373,-9.047,2.505
-0.761,-0.564,0.268,-0.428,-8.229,2.446
-0.762,-0.564,0.268,-0.392,-7.412,2.390
-0.762,-0.564,0.269,-0.317,-5.711,2.329
-0.763,-0.563,0.269,-0.218,-4.798,2.265

0.141,-1.163,-0.644,0.411,-8.854,3.474
0.154,-1.166,-0.654,0.493,-14.643,5.817
0.167,-1.166,-0.664,-0.028,-22.285,8.973
0.179,-1.165,-0.674,-1.404,-32.724,12.731
0.191,-1.164,-0.683,-3.674,-44.963,16.797
0.203,-1.163,-0.693,-6.903,-58.399,21.081
0.216,-1.163,-0.702,-10.545,-72.479,25.566
0.229,-1.162,-0.711,-14.201,-88.050,30.250
0.240,-1.161,-0.719,-17.675,-104.561,35.270
0.250,-1.158,-0.725,-20.689,-122.109,40.399
0.258,-1.154,-0.729,-22.999,-140.798,45.400
0.261,-1.150,-0.728,-24.507,-161.323,50.066
0.261,-1.146,-0.726,-25.460,-182.131,54.435
0.258,-1.141,-0.718,-25.803,-202.089,58.314
0.252,-1.134,-0.706,-25.650,-221.646,61.883
0.243,-1.127,-0.686,-25.072,-241.532,65.001
0.229,-1.120,-0.658,-24.328,-259.565,68.020
0.213,-1.112,-0.625,-23.294,-275.239,71.208
0.193,-1.105,-0.589,-21.666,-288.195,74.412
0.171,-1.099,-0.550,-20.021,-296.473,77.647
0.149,-1.092,-0.513,-18.345,-300.752,81.005
0.127,-1.087,-0.476,-16.852,-301.807,84.249
0.106,-1.078,-0.440,-15.735,-300.806,87.294
0.084,-1.065,-0.400,-15.002,-299.042,90.125
0.062,-1.047,-0.354,-14.679,-297.466,92.634
0.040,-1.024,-0.303,-14.851,-295.704,94.561
0.017,-0.993,-0.248,-15.818,-292.871,95.389
-0.005,-0.961,-0.191,-17.339,-287.258,95.360
-0.025,-0.927,-0.134,-19.380,-279.987,94.407
-0.046,-0.892,-0.076,-22.131,-271.564,92.485
-0.067,-0.861,-0.019,-25.378,-262.910,90.291
-0.088,-0.834,0.034,-28.531,-255.556,88.081
-0.108,-0.814,0.082,-30.939,-248.626,85.917
-0.128,-0.801,0.124,-31.961,-239.031,83.847
-0.148,-0.792,0.157,-31.975,-227.071,81.955
-0.167,-0.787,0.182,-31.281,-212.896,80.341
-0.187,-0.783,0.202,-29.124,-197.691,78.941
-0.206,-0.780,0.217,-26.333,-182.166,77.430
-0.225,-0.777,0.225,-22.384,-167.475,75.685
-0.242,-0.773,0.229,-17.804,-154.153,73.837
-0.258,-0.766,0.230,-13.740,-141.970,71.347
-0.273,-0.759,0.227,-10.622,-130.776,68.467
-0.289,-0.751,0.221,-8.276,-120.756,65.222
-0.305,-0.744,0.215,-6.519,-111.829,61.521
-0.321,-0.736,0.209,-5.348,-103.906,57.598
-0.337,-0.728,0.204,-4.594,-96.801,53.416
-0.351,-0.719,0.200,-4.201,-90.108,48.886
-0.363,-0.713,0.198,-4.185,-83.565,44.062
-0.375,-0.708,0.197,-4.360,-77.039,39.492
-0.385,-0.707,0.197,-4.588,-70.574,35.476
-0.396,-0.708,0.197,-4.715,-64.507,32.494
-0.406,-0.711,0.196,-4.553,-59.322,30.428
-0.418,-0.715,0.194,-4.223,-56.081,29.161
-0.431,-0.717,0.192,-3.779,-54.507,28.457
-0.445,-0.718,0.190,-3.403,-53.888,28.037
-0.458,-0.716,0.189,-3.155,-54.203,27.765
-0.469,-0.714,0.189,-3.033,-55.298,27.555
-0.477,-0.711,0.190,-3.015,-56.183,27.340
-0.484,-0.708,0.192,-3.045,-56.466,27.087
-0.490,-0.705,0.195,-3.057,-56.110,26.777
-0.495,-0.702,0.198,-3.046,-55.197,26.398
-0.501,-0.699,0.200,-3.039,-53.904,25.910
-0.506,-0.695,0.202,-3.058,-52.213,25.356
-0.512,-0.691,0.203,-3.132,-50.233,24.728
-0.518,-0.688,0.204,-3.193,-48.182,24.037
-0.524,-0.686,0.205,-3.186,-46.149,23.319
-0.531,-0.684,0.205,-3.133,-44.114,22.613
-0.537,-0.683,0.206,-3.028,-41.956,21.921
-0.543,-0.682,0.207,-2.890,-39.622,21.216
-0.548,-0.680,0.208,-2.717,-37.084,20.488
-0.553,-0.679,0.209,-2.536,-34.225,19.717
-0.558,-0.677,0.210,-2.375,-31.151,18.897
-0.563,-0.675,0.211,-2.250,-27.974,18.040
-0.569,-0.674,0.211,-2.177,-24.836,17.166
-0.574,-0.672,0.210,-2.150,-21.922,16.315
-0.580,-0.671,0.209,-2.164,-19.406,15.532
-0.586,-0.670,0.208,-2.266,-17.364,14.821
-0.593,-0.669,0.206,-2.435,-15.944,14.199
-0.599,-0.668,0.205,-2.653,-14.981,13.674
-0.605,-0.667,0.204,-2.929,-14.422,13.274
-0.611,-0.667,0.204,-3.212,-14.157,12.958
-0.616,-0.666,0.204,-3.516,-14.150,12.706
-0.621,-0.666,0.204,-3.793,-14.250,12.519
-0.626,-0.666,0.205,-4.010,-14.419,12.372
-0.630,-0.666,0.206,-4.176,-14.577,12.241
-0.634,-0.666,0.207,-4.269,-14.672,12.120
-0.637,-0.666,0.208,-4.285,-14.685,11.987
-0.641,-0.665,0.209,-4.283,-14.595,11.840
-0.644,-0.664,0.210,-4.277,-14.352,11.668
-0.647,-0.663,0.210,-4.299,-14.013,11.445
-0.650,-0.662,0.211,-4.328,-13.591,11.186
-0.654,-0.661,0.211,-4.336,-13.116,10.882
-0.657,-0.660,0.212,-4.342,-12.582,10.548
-0.659,-0.659,0.212,-4.334,-11.960,10.204
-0.662,-0.659,0.213,-4.309,-11.258,9.862
-0.665,-0.658,0.213,-4.269,-10.454,9.523
-0.667,-0.657,0.213,-4.228,-9.617,9.196
-0.670,-0.656,0.213,-4.176,-8.809,8.882
-0.673,-0.655,0.213,-4.130,-8.084,8.576
-0.676,-0.654,0.213,-4.089,-7.443,8.283
-0.679,-0.653,0.212,-4.053,-6.878,8.012
-0.681,-0.652,0.211,-3.991,-6.372,7.757
-0.683,-0.651,0.210,-3.916,-5.912,7.513
-0.686,-0.651,0.210,-3.843,-5.467,7.269
-0.688,-0.650,0.209,-3.750,-5.002,7.026
-0.690,-0.650,0.208,-3.629,-4.474,6.779
-0.692,-0.650,0.207,-3.488,-3.862,6.521
-0.695,-0.649,0.205,-3.320,-3.150,6.237
-0.697,-0.649,0.204,-3.140,-2.330,5.932
-0.699,-0.648,0.203,-2.951,-1.363,5.588
-0.702,-0.648,0.202,-2.752,-0.295,5.201
-0.704,-0.647,0.201,-2.521,0.864,4.793
-0.706,-0.647,0.201,-2.254,2.152,4.380
-0.707,-0.647,0.201,-1.934,3.521,3.980
-0.709,-0.647,0.201,-1.522,4.971,3.623
-0.710,-0.648,0.202,-1.024,6.499,3.311
-0.711,-0.648,0.203,-0.424,8.109,3.041
-0.712,-0.648,0.205,0.276,9.724,2.810
-0.714,-0.648,0.207,1.112,11.322,2.617

0.466,-1.062,-0.386,-0.690,-4.514,9.593
0.476,-1.060,-0.387,-2.433,-20.580,16.813
0.484,-1.057,-0.388,-4.098,-36.232,24.140
0.491,-1.053,-0.390,-5.640,-51.217,31.334
0.495,-1.050,-0.393,-6.870,-65.757,38.177
0.497,-1.046,-0.393,-7.561,-80.278,44.587
0.496,-1.042,-0.393,-7.975,-94.763,50.542
0.493,-1.040,-0.391,-8.331,-109.007,56.219
0.489,-1.038,-0.387,-8.609,-122.846,61.625
0.482,-1.037,-0.381,-9.010,-135.990,66.654
0.473,-1.036,-0.375,-9.409,-147.984,71.422
0.461,-1.035,-0.366,-9.678,-159.146,75.813
0.447,-1.034,-0.355,-9.827,-169.362,79.930
0.431,-1.030,-0.344,-10.011,-178.410,83.895
0.413,-1.023,-0.332,-10.186,-186.247,87.476
0.391,-1.015,-0.320,-10.447,-192.825,90.357
0.369,-1.007,-0.305,-10.905,-198.677,91.330
0.344,-0.999,-0.286,-11.567,-204.290,92.751
0.318,-0.995,-0.263,-12.282,-209.590,93.774
0.291,-0.993,-0.237,-12.860,-213.378,94.754
0.265,-0.995,-0.210,-13.022,-215.170,96.113
0.240,-0.999,-0.183,-12.836,-214.822,97.934
0.215,-1.003,-0.155,-12.385,-212.099,100.283
0.189,-1.003,-0.128,-11.728,-208.383,103.007
0.162,-0.997,-0.101,-11.037,-204.178,105.807
0.132,-0.980,-0.075,-10.747,-199.824,108.029
0.100,-0.957,-0.050,-11.019,-195.576,109.242
0.064,-0.929,-0.023,-12.244,-191.788,109.208
0.027,-0.900,0.005,-15.141,-188.682,107.797
-0.009,-0.875,0.035,-18.911,-186.244,105.821
-0.042,-0.855,0.066,-22.954,-184.217,103.559
-0.070,-0.841,0.097,-26.417,-181.750,101.185
-0.095,-0.831,0.127,-28.894,-178.825,98.850
-0.118,-0.819,0.157,-30.540,-174.837,96.689
-0.140,-0.802,0.187,-31.896,-170.619,94.817
-0.163,-0.782,0.214,-33.134,-166.489,93.073
-0.187,-0.760,0.239,-34.184,-162.697,91.261
-0.210,-0.737,0.258,-35.128,-157.675,89.269
-0.232,-0.719,0.272,-35.993,-151.248,87.159
-0.253,-0.706,0.282,-36.608,-143.537,84.240
-0.270,-0.699,0.288,-36.980,-134.514,80.928
-0.285,-0.698,0.290,-36.935,-123.676,77.614
-0.300,-0.701,0.291,-36.403,-112.524,74.645
-0.316,-0.706,0.292,-35.401,-101.980,71.838
-0.332,-0.711,0.291,-33.577,-92.696,68.917
