aX,aY,aZ,gX,gY,gZ
-0.694,-0.666,-0.124,8.850,23.800,9.540
-0.694,-0.665,-0.127,8.492,23.185,9.692
-0.695,-0.664,-0.129,8.132,22.528,9.864
-0.696,-0.663,-0.132,7.785,21.830,10.036

-0.446,-0.955,-0.505,8.574,23.518,10.577
-0.449,-0.952,-0.509,9.397,24.539,11.144
-0.451,-0.949,-0.513,10.301,25.017,11.705
-0.454,-0.945,-0.516,11.230,25.036,12.212
-0.457,-0.940,-0.519,12.056,24.562,12.655
-0.461,-0.935,-0.522,12.690,23.836,12.893
-0.464,-0.930,-0.525,13.114,22.916,13.107
-0.466,-0.927,-0.527,13.412,21.881,13.219
-0.470,-0.920,-0.530,13.321,20.843,13.652
-0.474,-0.916,-0.535,13.556,19.394,13.639
-0.475,-0.912,-0.533,13.961,17.744,14.235
-0.480,-0.912,-0.535,14.820,16.092,14.679
-0.480,-0.911,-0.528,15.568,15.167,15.708
-0.480,-0.909,-0.523,16.163,13.687,17.118
-0.486,-0.905,-0.518,16.748,10.480,17.936
-0.494,-0.897,-0.511,16.951,4.846,18.279
-0.499,-0.889,-0.499,16.649,0.597,18.265
-0.500,-0.883,-0.489,15.870,-2.541,18.174
-0.502,-0.877,-0.477,15.150,-5.016,17.930
-0.507,-0.873,-0.468,14.496,-7.439,17.621
-0.512,-0.868,-0.459,13.795,-9.735,17.395
-0.518,-0.864,-0.450,13.100,-12.008,17.322
-0.524,-0.862,-0.440,12.512,-14.259,17.456
-0.530,-0.859,-0.431,12.134,-16.255,17.644
-0.534,-0.856,-0.422,11.957,-17.829,17.799
-0.538,-0.853,-0.411,11.964,-19.180,17.881
-0.542,-0.849,-0.399,12.070,-20.381,17.862
-0.547,-0.845,-0.386,12.179,-21.452,17.747
-0.551,-0.841,-0.371,12.209,-22.415,17.619
-0.555,-0.837,-0.357,12.167,-23.252,17.508
-0.559,-0.833,-0.345,12.064,-23.970,17.393
-0.563,-0.829,-0.332,11.908,-24.553,17.254
-0.567,-0.826,-0.320,11.733,-24.995,17.093
-0.570,-0.822,-0.308,11.492,-25.371,16.936
-0.574,-0.819,-0.298,11.210,-25.654,16.780
-0.577,-0.816,-0.288,10.919,-25.899,16.586
-0.581,-0.813,-0.279,10.658,-26.116,16.349
-0.584,-0.811,-0.269,10.412,-26.305,16.079
-0.588,-0.808,-0.259,10.169,-26.456,15.805
-0.591,-0.805,-0.247,9.925,-26.582,15.527
-0.594,-0.803,-0.236,9.699,-26.662,15.231
-0.597,-0.800,-0.225,9.491,-26.668,14.920
-0.600,-0.797,-0.214,9.289,-26.605,14.608
-0.603,-0.794,-0.204,9.089,-26.497,14.290
-0.606,-0.791,-0.195,8.884,-26.394,13.973
-0.609,-0.789,-0.185,8.613,-26.294,13.659
-0.612,-0.786,-0.177,8.310,-26.156,13.339
-0.615,-0.784,-0.170,8.008,-25.969,13.003
-0.618,-0.782,-0.164,7.740,-25.781,12.634
-0.621,-0.780,-0.158,7.527,-25.612,12.238
-0.623,-0.779,-0.151,7.347,-25.499,11.835
-0.625,-0.777,-0.144,7.195,-25.409,11.436
-0.627,-0.776,-0.137,7.115,-25.290,11.033
-0.629,-0.775,-0.130,7.113,-25.137,10.620
-0.630,-0.775,-0.124,7.180,-24.953,10.210
-0.631,-0.774,-0.117,7.265,-24.764,9.826
-0.632,-0.773,-0.110,7.317,-24.593,9.470
-0.633,-0.772,-0.103,7.318,-24.420,9.148
-0.634,-0.771,-0.096,7.265,-24.247,8.838
-0.635,-0.770,-0.090,7.129,-24.086,8.529
-0.636,-0.769,-0.084,6.928,-23.931,8.230
-0.637,-0.768,-0.079,6.676,-23.766,7.956
-0.638,-0.768,-0.074,6.402,-23.609,7.698
-0.638,-0.767,-0.070,6.160,-23.483,7.462
-0.639,-0.767,-0.066,5.972,-23.389,7.236
-0.639,-0.766,-0.062,5.859,-23.329,7.029
-0.639,-0.766,-0.057,5.804,-23.279,6.836
-0.640,-0.766,-0.053,5.792,-23.222,6.660
-0.640,-0.766,-0.048,5.810,-23.154,6.493
-0.640,-0.765,-0.043,5.851,-23.087,6.333
-0.641,-0.765,-0.039,5.884,-23.032,6.180
-0.641,-0.764,-0.034,5.910,-22.997,6.037
-0.642,-0.764,-0.028,5.870,-22.983,5.903
-0.643,-0.763,-0.023,5.769,-22.983,5.774
-0.644,-0.762,-0.018,5.598,-22.971,5.653
-0.645,-0.761,-0.014,5.395,-22.953,5.534
-0.646,-0.760,-0.010,5.193,-22.955,5.420
-0.647,-0.759,-0.005,4.972,-22.996,5.307
-0.647,-0.759,0.000,4.734,-23.047,5.209
-0.647,-0.758,0.006,4.512,-23.063,5.115
-0.647,-0.758,0.011,4.302,-23.014,5.020
-0.647,-0.758,0.016,4.128,-22.887,4.926
-0.647,-0.758,0.020,3.992,-22.705,4.847
-0.647,-0.758,0.024,3.873,-22.484,4.782
-0.647,-0.757,0.028,3.752,-22.249,4.742
-0.648,-0.757,0.032,3.626,-22.024,4.717
-0.648,-0.757,0.036,3.478,-21.814,4.697
-0.649,-0.756,0.040,3.303,-21.616,4.673
