aX,aY,aZ,gX,gY,gZ
-0.487,-0.832,-0.110,4.688,15.695,0.511
-0.490,-0.833,-0.107,3.955,14.464,0.717
-0.493,-0.833,-0.104,3.830,13.320,0.923
-0.496,-0.834,-0.100,3.713,12.255,1.132
-0.499,-0.835,-0.097,3.633,11.280,1.337
-0.502,-0.835,-0.092,3.577,10.375,1.543
-0.505,-0.835,-0.088,3.538,9.532,1.748
-0.508,-0.835,-0.084,3.508,8.752,1.942
-0.511,-0.835,-0.079,3.495,8.030,2.123
-0.514,-0.835,-0.075,3.504,7.371,2.293
-0.516,-0.835,-0.072,3.504,6.785,2.447
-0.519,-0.834,-0.069,3.489,6.263,2.575
-0.521,-0.834,-0.066,3.455,5.804,2.674
-0.523,-0.833,-0.063,3.408,5.403,2.721
-0.525,-0.832,-0.060,3.347,5.054,2.740
-0.527,-0.831,-0.057,3.276,4.738,2.725
-0.529,-0.830,-0.053,3.184,4.462,2.675
-0.530,-0.829,-0.050,3.070,4.224,2.592
-0.532,-0.828,-0.047,2.962,4.020,2.477
-0.533,-0.828,-0.045,2.868,3.856,2.329
-0.534,-0.827,-0.042,2.800,3.734,2.153
-0.535,-0.826,-0.041,2.750,3.656,1.947
-0.536,-0.824,-0.039,2.707,3.605,1.710
-0.536,-0.823,-0.039,2.676,3.570,1.449
-0.537,-0.823,-0.039,2.649,3.538,1.161
-0.537,-0.822,-0.039,2.633,3.518,0.852
-0.538,-0.822,-0.039,2.646,3.516,0.525
-0.538,-0.822,-0.039,2.677,3.540,0.182
-0.538,-0.822,-0.038,2.732,3.566,-0.153
-0.538,-0.822,-0.038,2.799,3.588,-0.476
-0.537,-0.822,-0.038,2.869,3.602,-0.773
-0.536,-0.822,-0.037,2.933,3.599,-1.044
-0.535,-0.823,-0.038,2.976,3.576,-1.282
-0.534,-0.823,-0.038,3.007,3.532,-1.490
-0.534,-0.824,-0.038,3.020,3.457,-1.674
-0.533,-0.824,-0.039,3.021,3.349,-1.828
-0.532,-0.825,-0.040,3.004,3.214,-1.957
-0.532,-0.826,-0.041,2.986,3.055,-2.066
-0.531,-0.826,-0.042,2.970,2.885,-2.155
-0.531,-0.827,-0.044,2.966,2.711,-2.229
-0.531,-0.828,-0.044,2.978,2.537,-2.282
-0.531,-0.828,-0.045,2.995,2.364,-2.325
-0.531,-0.829,-0.045,3.008,2.180,-2.360
-0.531,-0.829,-0.046,2.992,1.978,-2.387
-0.531,-0.830,-0.046,2.938,1.756,-2.410
-0.531,-0.830,-0.046,2.817,1.510,-2.432
-0.531,-0.831,-0.046,2.663,1.253,-2.457
-0.532,-0.831,-0.046,2.471,0.967,-2.489
-0.532,-0.832,-0.046,2.255,0.661,-2.516
-0.533,-0.833,-0.047,2.021,0.350,-2.546
-0.533,-0.834,-0.047,1.774,0.035,-2.572
-0.534,-0.835,-0.048,1.534,-0.275,-2.593
-0.535,-0.836,-0.047,1.327,-0.570,-2.605
-0.536,-0.837,-0.047,1.161,-0.843,-2.610
-0.537,-0.838,-0.046,1.034,-1.091,-2.600
-0.537,-0.839,-0.046,0.936,-1.318,-2.576
-0.538,-0.840,-0.045,0.850,-1.520,-2.539
-0.539,-0.841,-0.045,0.779,-1.708,-2.488
-0.539,-0.842,-0.045,0.711,-1.891,-2.420
-0.539,-0.843,-0.045,0.638,-2.075,-2.338
-0.539,-0.844,-0.046,0.552,-2.282,-2.248
-0.539,-0.844,-0.046,0.457,-2.519,-2.155
-0.539,-0.845,-0.046,0.338,-2.794,-2.058
-0.539,-0.846,-0.046,0.194,-3.129,-1.958
-0.539,-0.847,-0.047,0.051,-3.487,-1.852
-0.539,-0.848,-0.047,-0.082,-3.876,-1.739
-0.539,-0.849,-0.047,-0.212,-4.291,-1.611
-0.539,-0.850,-0.048,-0.329,-4.717,-1.471
-0.539,-0.851,-0.048,-0.424,-5.140,-1.311
-0.539,-0.851,-0.048,-0.508,-5.568,-1.128
-0.539,-0.851,-0.048,-0.603,-5.989,-0.924
-0.539,-0.852,-0.049,-0.726,-6.415,-0.708
-0.539,-0.852,-0.049,-0.882,-6.855,-0.474
-0.539,-0.853,-0.050,-1.079,-7.310,-0.233
-0.539,-0.853,-0.050,-1.291,-7.795,0.013
-0.539,-0.853,-0.050,-1.502,-8.298,0.246
-0.539,-0.853,-0.050,-1.695,-8.811,0.472
-0.539,-0.853,-0.051,-1.870,-9.376,0.681
-0.539,-0.853,-0.051,-2.034,-9.944,0.893
-0.538,-0.853,-0.052,-2.174,-10.556,1.108
-0.538,-0.853,-0.054,-2.251,-11.230,1.339
-0.537,-0.853,-0.056,-2.304,-12.009,1.591
-0.536,-0.853,-0.058,-2.366,-12.946,1.867

-0.208,-0.871,0.777,-4.838,-20.394,1.064
-0.202,-0.875,0.784,-6.898,-26.458,0.259
-0.196,-0.879,0.792,-8.716,-31.471,-0.587
-0.189,-0.885,0.800,-10.285,-35.355,-1.508
-0.181,-0.892,0.810,-11.512,-38.421,-2.529
-0.172,-0.900,0.821,-12.252,-40.833,-3.756
-0.163,-0.910,0.835,-12.754,-42.680,-5.091
-0.152,-0.921,0.853,-13.128,-43.824,-6.488
-0.139,-0.933,0.873,-13.325,-44.425,-7.917
-0.124,-0.946,0.893,-13.249,-44.504,-9.304
-0.108,-0.959,0.912,-12.940,-44.086,-10.493
-0.090,-0.972,0.932,-12.377,-43.134,-11.405
-0.072,-0.984,0.950,-11.463,-41.196,-12.047
-0.054,-0.994,0.966,-9.990,-37.978,-12.343
-0.038,-1.001,0.981,-8.181,-33.290,-12.406
-0.022,-1.006,0.992,-6.074,-26.425,-12.302
-0.009,-1.012,1.001,-3.706,-18.155,-12.102
0.004,-1.017,1.008,-0.970,-8.800,-11.888
0.016,-1.023,1.014,1.941,1.382,-11.755
0.027,-1.027,1.018,4.793,12.339,-11.737
0.038,-1.031,1.023,7.517,24.298,-11.829
0.049,-1.033,1.028,9.986,36.698,-12.043
0.060,-1.035,1.034,12.087,49.643,-12.349
0.071,-1.035,1.039,13.782,63.111,-12.700
0.082,-1.034,1.045,15.171,77.224,-13.055
0.093,-1.031,1.049,16.308,92.066,-13.410
0.104,-1.026,1.051,17.232,107.645,-13.739
0.114,-1.020,1.050,17.942,124.664,-14.059
0.123,-1.012,1.045,18.509,141.981,-14.396
