aX,aY,aZ,gX,gY,gZ
0.518,-0.137,0.893,-1.525,-2.191,-0.009
0.517,-0.137,0.893,-1.432,-2.160,-0.025
0.517,-0.137,0.892,-1.394,-2.126,-0.052
0.517,-0.137,0.892,-1.412,-2.099,-0.078
0.517,-0.137,0.891,-1.475,-2.077,-0.116
0.516,-0.137,0.890,-1.551,-2.053,-0.169
0.516,-0.137,0.890,-1.634,-2.039,-0.226
0.516,-0.137,0.889,-1.702,-2.038,-0.271
0.516,-0.138,0.888,-1.703,-2.040,-0.319
0.516,-0.138,0.888,-1.666,-2.046,-0.362
0.516,-0.138,0.887,-1.590,-2.056,-0.392
0.516,-0.138,0.886,-1.516,-2.057,-0.420
0.515,-0.139,0.885,-1.451,-2.050,-0.449
0.515,-0.139,0.884,-1.397,-2.037,-0.474
0.515,-0.139,0.884,-1.378,-2.027,-0.494
0.515,-0.139,0.884,-1.395,-2.025,-0.516
0.514,-0.139,0.883,-1.444,-2.027,-0.546
0.514,-0.139,0.883,-1.527,-2.035,-0.574
0.514,-0.139,0.883,-1.627,-2.048,-0.605
0.514,-0.139,0.883,-1.710,-2.080,-0.640
0.513,-0.139,0.882,-1.777,-2.154,-0.660
0.513,-0.140,0.881,-1.806,-2.215,-0.675
0.514,-0.140,0.880,-1.789,-2.238,-0.689
0.514,-0.140,0.880,-1.709,-2.240,-0.685
0.514,-0.141,0.880,-1.611,-2.242,-0.661
0.514,-0.141,0.879,-1.520,-2.240,-0.633
0.514,-0.140,0.879,-1.474,-2.226,-0.615
0.514,-0.140,0.880,-1.468,-2.210,-0.610
0.513,-0.140,0.880,-1.509,-2.193,-0.621
0.513,-0.140,0.880,-1.580,-2.180,-0.645
0.513,-0.140,0.881,-1.664,-2.165,-0.685
0.513,-0.140,0.881,-1.763,-2.166,-0.728
0.513,-0.140,0.881,-1.858,-2.176,-0.765
0.513,-0.141,0.880,-1.921,-2.162,-0.808
0.513,-0.141,0.880,-1.930,-2.130,-0.834
0.513,-0.141,0.880,-1.911,-2.087,-0.836
0.513,-0.141,0.880,-1.876,-2.041,-0.833
0.513,-0.141,0.879,-1.822,-1.989,-0.819
0.513,-0.141,0.880,-1.769,-1.933,-0.787
0.513,-0.141,0.880,-1.728,-1.882,-0.765
0.513,-0.141,0.880,-1.716,-1.838,-0.756
0.513,-0.141,0.881,-1.741,-1.816,-0.758
0.513,-0.141,0.881,-1.805,-1.808,-0.760
0.512,-0.141,0.882,-1.893,-1.810,-0.770
0.513,-0.141,0.882,-1.975,-1.820,-0.790
0.512,-0.141,0.881,-2.039,-1.822,-0.800
0.513,-0.142,0.881,-2.068,-1.783,-0.801
0.513,-0.142,0.881,-2.073,-1.709,-0.789
0.513,-0.142,0.881,-2.042,-1.615,-0.758
0.512,-0.142,0.881,-1.991,-1.523,-0.721
0.512,-0.142,0.881,-1.920,-1.428,-0.673
0.512,-0.142,0.881,-1.846,-1.336,-0.629
0.512,-0.142,0.881,-1.784,-1.254,-0.605
0.511,-0.142,0.882,-1.728,-1.203,-0.594
0.511,-0.142,0.882,-1.692,-1.183,-0.578
0.511,-0.142,0.882,-1.680,-1.207,-0.573
0.511,-0.143,0.882,-1.680,-1.235,-0.588
0.511,-0.143,0.882,-1.688,-1.244,-0.624
0.511,-0.143,0.881,-1.703,-1.241,-0.661
0.511,-0.143,0.881,-1.697,-1.217,-0.675
0.511,-0.143,0.881,-1.688,-1.165,-0.679
0.511,-0.143,0.881,-1.686,-1.103,-0.672
0.511,-0.144,0.881,-1.688,-1.047,-0.639
0.510,-0.144,0.880,-1.666,-1.000,-0.597
0.510,-0.144,0.880,-1.648,-0.935,-0.554
0.510,-0.144,0.880,-1.645,-0.866,-0.504
0.510,-0.144,0.880,-1.630,-0.826,-0.447
