aX,aY,aZ,gX,gY,gZ
0.139,-1.016,0.095,10.770,-5.480,-6.776
0.139,-1.015,0.094,10.573,-5.646,-6.869
0.140,-1.015,0.094,10.394,-5.815,-6.914
0.140,-1.015,0.094,10.274,-5.968,-6.817
0.140,-1.014,0.094,10.214,-6.103,-6.597
0.140,-1.014,0.095,10.110,-6.207,-6.238
0.140,-1.013,0.095,9.897,-6.274,-5.759
0.140,-1.012,0.095,9.548,-6.381,-5.191
0.139,-1.011,0.095,9.041,-6.512,-4.583
0.139,-1.010,0.095,8.124,-6.652,-3.985
0.138,-1.009,0.095,7.016,-6.810,-3.465
0.138,-1.009,0.095,5.809,-6.980,-3.096
0.138,-1.008,0.095,4.656,-7.122,-2.843
0.138,-1.008,0.096,3.582,-7.184,-2.687
0.138,-1.009,0.096,2.682,-7.160,-2.586
0.138,-1.009,0.096,1.940,-7.064,-2.487
0.138,-1.009,0.097,1.363,-6.880,-2.358
0.138,-1.010,0.097,0.969,-6.600,-2.176
0.138,-1.010,0.097,0.729,-6.266,-1.890
0.138,-1.006,0.097,0.588,-5.904,-1.431
0.137,-1.006,0.097,0.500,-5.522,-0.928
0.137,-1.005,0.097,0.425,-5.152,-0.446
0.136,-1.005,0.097,0.403,-4.808,-0.024
0.136,-1.004,0.097,0.406,-4.501,0.344
0.135,-1.004,0.098,0.460,-4.245,0.604
0.135,-1.003,0.098,0.517,-4.025,0.725
0.134,-1.003,0.098,0.607,-3.814,0.762
0.134,-1.003,0.098,0.693,-3.640,0.704
0.133,-1.003,0.098,0.788,-3.506,0.638
0.133,-1.004,0.098,0.941,-3.392,0.611
0.133,-1.004,0.099,1.113,-3.277,0.632
0.133,-1.003,0.098,1.269,-3.165,0.704
0.132,-1.003,0.098,1.319,-3.051,0.882
0.132,-1.002,0.098,1.342,-2.940,1.096
0.132,-1.002,0.098,1.257,-2.853,1.296
0.132,-1.001,0.098,1.144,-2.816,1.463
0.132,-1.001,0.098,0.995,-2.811,1.569
0.132,-1.000,0.098,0.796,-2.861,1.632
0.132,-1.000,0.098,0.575,-2.946,1.637
0.132,-1.000,0.098,0.407,-3.051,1.601
0.132,-1.000,0.098,0.306,-3.176,1.557
0.132,-1.000,0.098,0.251,-3.293,1.529
0.133,-1.000,0.097,0.265,-3.364,1.523
0.133,-1.000,0.097,0.319,-3.402,1.623
0.133,-0.999,0.097,0.406,-3.412,1.805
0.133,-0.999,0.096,0.469,-3.392,2.049
0.133,-0.998,0.095,0.400,-3.374,2.271
0.133,-0.997,0.095,0.208,-3.373,2.451
0.133,-0.997,0.095,-0.101,-3.393,2.529
0.133,-0.996,0.094,-0.405,-3.441,2.496
0.133,-0.996,0.094,-0.778,-3.508,2.388
0.133,-0.996,0.094,-1.116,-3.587,2.245
0.133,-0.996,0.094,-1.446,-3.649,2.070
0.133,-0.996,0.094,-1.655,-3.670,1.886
0.134,-0.996,0.093,-1.792,-3.630,1.751
0.134,-0.996,0.093,-1.806,-3.536,1.687
0.134,-0.995,0.093,-1.747,-3.369,1.699
0.134,-0.994,0.092,-1.706,-3.148,1.788
0.134,-0.993,0.092,-1.743,-2.920,1.842
0.134,-0.993,0.092,-1.795,-2.701,1.834
0.134,-0.992,0.091,-1.922,-2.516,1.730
0.133,-0.992,0.091,-2.019,-2.365,1.527
0.133,-0.991,0.090,-2.153,-2.267,1.210
0.133,-0.992,0.090,-2.227,-2.225,0.822
0.133,-0.992,0.090,-2.239,-2.189,0.450
0.133,-0.992,0.089,-2.249,-2.155,0.124
0.134,-0.993,0.089,-2.187,-2.082,-0.140
0.134,-0.993,0.089,-2.103,-1.969,-0.318
0.134,-0.994,0.088,-1.860,-1.814,-0.365
0.134,-0.994,0.088,-1.521,-1.645,-0.325
0.135,-0.994,0.088,-1.131,-1.462,-0.213
0.135,-0.993,0.088,-0.788,-1.285,-0.066
0.135,-0.993,0.088,-0.453,-1.138,0.094
0.134,-0.993,0.088,-0.157,-1.020,0.187
0.134,-0.993,0.088,0.086,-0.941,0.215
0.134,-0.993,0.087,0.284,-0.890,0.202
0.133,-0.992,0.087,0.364,-0.867,0.089
0.133,-0.992,0.087,0.392,-0.837,-0.108
0.133,-0.992,0.087,0.366,-0.813,-0.356
0.133,-0.993,0.087,0.303,-0.782,-0.581
0.133,-0.993,0.087,0.300,-0.741,-0.792
0.133,-0.993,0.087,0.317,-0.686,-0.978
0.133,-0.993,0.088,0.402,-0.599,-1.091

1.109,-1.207,0.603,10.718,-24.797,-28.177
1.138,-1.446,0.758,36.275,-19.269,-36.029
1.150,-1.404,0.875,45.476,-15.591,-41.431
1.101,-1.373,0.898,-9.007,-14.513,-46.710
1.061,-1.356,0.872,-76.952,-15.073,-51.322
1.043,-1.369,0.827,-116.462,-13.307,-56.237
1.016,-1.391,0.781,-122.293,-12.468,-58.018
0.986,-1.411,0.733,-112.393,-15.595,-55.430
0.966,-1.412,0.684,-93.749,-22.617,-50.565
0.950,-1.411,0.637,-72.880,-29.261,-44.589
0.937,-1.413,0.595,-50.946,-34.566,-37.630
0.923,-1.411,0.560,-29.637,-40.012,-28.736
0.907,-1.406,0.530,-11.290,-45.407,-19.376
0.892,-1.405,0.509,3.547,-49.640,-12.082
0.880,-1.407,0.497,15.275,-51.843,-6.285
0.868,-1.410,0.494,23.962,-51.234,-1.234
0.856,-1.411,0.493,29.172,-49.299,3.272
0.839,-1.406,0.491,28.598,-46.690,7.256
0.820,-1.392,0.487,25.732,-43.847,10.468
0.798,-1.375,0.479,19.557,-41.081,12.676
0.775,-1.358,0.467,11.849,-38.688,14.271
0.750,-1.342,0.454,4.652,-36.837,15.960
0.728,-1.326,0.441,-0.823,-35.180,18.045
0.708,-1.311,0.429,-4.330,-33.491,20.357
0.689,-1.296,0.417,-5.050,-31.715,21.876
0.671,-1.280,0.406,-3.372,-29.858,22.153
0.653,-1.264,0.396,0.374,-28.018,21.386
0.636,-1.250,0.389,5.419,-26.282,20.126
0.620,-1.236,0.383,11.274,-24.591,18.932
0.604,-1.224,0.378,17.401,-22.810,18.362
0.591,-1.214,0.374,22.413,-20.896,18.237
0.579,-1.204,0.370,25.668,-18.928,18.253
0.567,-1.194,0.365,26.809,-16.926,18.150
0.555,-1.184,0.358,25.685,-15.013,17.711
0.541,-1.174,0.350,22.583,-13.226,16.740
0.528,-1.165,0.343,17.987,-11.611,13.908
0.515,-1.157,0.334,12.095,-10.219,12.208
0.503,-1.151,0.326,6.272,-9.030,10.380
0.492,-1.145,0.317,0.912,-8.002,8.515
0.482,-1.140,0.308,-3.692,-7.155,6.689
0.474,-1.136,0.298,-7.408,-6.484,5.061
0.466,-1.134,0.289,-10.086,-6.034,3.814
0.458,-1.132,0.280,-11.337,-5.787,2.973
0.451,-1.130,0.272,-11.585,-5.736,2.573
0.445,-1.128,0.263,-10.953,-5.830,2.513
0.439,-1.126,0.254,-9.726,-5.968,2.675
0.433,-1.124,0.245,-8.241,-6.085,2.954
0.427,-1.120,0.237,-6.548,-6.216,3.271
0.420,-1.117,0.228,-5.068,-6.575,3.516
0.412,-1.112,0.221,-3.980,-7.558,3.657
0.404,-1.108,0.215,-3.290,-9.014,3.712
0.396,-1.103,0.210,-3.154,-10.883,3.730
0.389,-1.099,0.205,-3.758,-12.709,3.667
0.383,-1.095,0.201,-4.130,-14.177,3.621
0.377,-1.091,0.198,-4.179,-15.017,3.722
0.373,-1.087,0.195,-3.854,-14.906,4.026
0.368,-1.083,0.192,-3.231,-14.003,4.517
0.363,-1.078,0.189,-2.297,-12.464,5.086
0.359,-1.074,0.186,-0.764,-10.491,5.860
0.354,-1.070,0.184,1.267,-8.328,6.675
0.348,-1.067,0.181,3.450,-6.058,6.623
0.343,-1.060,0.179,4.999,-3.868,5.722
0.335,-1.055,0.174,5.108,-2.281,5.335
