aX,aY,aZ,gX,gY,gZ
-0.751,-0.595,-0.067,4.062,3.902,-0.483
-0.753,-0.594,-0.067,4.359,4.397,-0.829
-0.754,-0.593,-0.067,4.736,4.896,-1.132
-0.756,-0.592,-0.066,5.169,5.384,-1.449
-0.758,-0.590,-0.065,5.652,5.828,-1.812
-0.759,-0.589,-0.063,6.175,6.246,-2.204
-0.761,-0.587,-0.061,6.759,6.645,-2.682

0.199,-1.098,-0.641,6.884,4.796,-1.198
0.211,-1.099,-0.642,6.587,1.401,0.501
0.224,-1.101,-0.643,5.958,-2.535,2.294
0.237,-1.103,-0.645,5.115,-6.497,4.119
0.250,-1.105,-0.648,4.081,-10.112,6.183
0.263,-1.107,-0.654,2.976,-13.377,8.420
0.275,-1.109,-0.662,1.702,-16.586,10.753
0.286,-1.109,-0.672,0.048,-20.155,13.292
0.296,-1.110,-0.682,-2.011,-24.595,16.093
0.305,-1.112,-0.691,-4.392,-30.241,19.219
0.314,-1.113,-0.698,-6.890,-37.171,22.655
0.323,-1.113,-0.704,-9.590,-45.447,26.596
0.330,-1.112,-0.709,-12.282,-54.138,30.908
0.335,-1.110,-0.712,-15.001,-63.082,35.354
0.337,-1.106,-0.713,-18.069,-72.050,39.650
0.337,-1.101,-0.714,-21.316,-81.125,43.494
0.335,-1.096,-0.712,-24.583,-90.707,46.652
0.332,-1.092,-0.710,-27.562,-100.312,49.166
0.328,-1.088,-0.705,-29.904,-109.693,51.431
0.323,-1.085,-0.699,-31.468,-118.575,53.631
0.316,-1.082,-0.692,-32.275,-126.724,55.992
0.307,-1.076,-0.684,-32.441,-134.119,58.819
0.296,-1.069,-0.676,-31.927,-140.741,61.866
0.284,-1.061,-0.667,-31.017,-146.784,65.044
0.270,-1.052,-0.656,-29.698,-152.487,68.302
0.253,-1.041,-0.642,-27.706,-158.153,71.468
0.232,-1.029,-0.624,-24.106,-164.156,74.522
0.208,-1.017,-0.602,-19.488,-170.426,77.342
0.182,-1.006,-0.577,-14.525,-176.101,80.309
0.155,-0.994,-0.545,-9.863,-180.827,83.522
0.126,-0.981,-0.512,-6.093,-184.516,86.929
0.096,-0.964,-0.474,-4.235,-187.207,90.591
0.065,-0.941,-0.434,-3.916,-188.802,94.451
0.033,-0.914,-0.395,-4.580,-189.317,98.031
-0.000,-0.884,-0.360,-5.927,-189.262,100.601
-0.033,-0.854,-0.330,-8.600,-188.964,101.335
-0.064,-0.825,-0.300,-12.457,-188.825,101.102
-0.094,-0.794,-0.265,-18.659,-189.029,100.183
-0.122,-0.766,-0.230,-27.724,-188.999,97.950
-0.145,-0.743,-0.195,-38.538,-188.287,93.533
-0.164,-0.724,-0.158,-48.681,-186.385,87.894
-0.181,-0.711,-0.123,-56.684,-182.999,81.203
-0.198,-0.703,-0.089,-59.725,-179.321,72.805
-0.215,-0.705,-0.057,-60.173,-174.575,63.010
-0.231,-0.711,-0.032,-59.071,-164.513,52.989
-0.244,-0.715,-0.009,-56.272,-151.114,44.156
-0.257,-0.716,0.010,-51.604,-135.285,37.843
-0.271,-0.719,0.023,-46.373,-118.414,32.912
-0.287,-0.724,0.029,-41.007,-102.817,29.059
-0.302,-0.730,0.029,-35.614,-89.388,26.036
-0.315,-0.736,0.024,-30.665,-77.871,23.306
-0.326,-0.741,0.017,-26.187,-67.498,20.900
-0.339,-0.745,0.008,-22.831,-58.762,18.522
-0.351,-0.747,-0.002,-20.456,-51.189,15.932
-0.363,-0.748,-0.012,-18.929,-44.562,13.098
-0.376,-0.747,-0.023,-18.112,-38.560,10.415
-0.388,-0.745,-0.033,-17.527,-32.948,8.146
-0.401,-0.744,-0.042,-16.970,-27.725,6.485
-0.413,-0.744,-0.050,-16.186,-23.075,5.611
-0.425,-0.744,-0.057,-15.042,-18.848,5.262
-0.436,-0.743,-0.064,-13.368,-16.571,5.425
-0.448,-0.742,-0.070,-11.257,-15.560,5.953
-0.459,-0.740,-0.074,-8.701,-15.427,6.775
-0.469,-0.736,-0.077,-5.989,-15.794,7.692
-0.478,-0.732,-0.075,-3.239,-16.441,8.618
-0.486,-0.727,-0.075,-0.638,-17.101,9.461
-0.493,-0.722,-0.076,1.406,-17.684,10.130
-0.499,-0.716,-0.076,2.973,-18.140,10.646
-0.505,-0.711,-0.077,4.037,-18.424,11.007
-0.510,-0.707,-0.078,4.692,-18.431,11.205
-0.516,-0.703,-0.080,5.019,-18.245,11.251
-0.521,-0.700,-0.082,5.001,-17.921,11.215
-0.527,-0.697,-0.084,4.808,-17.531,11.088
-0.533,-0.694,-0.087,4.509,-17.105,10.869
-0.539,-0.692,-0.089,4.187,-16.678,10.543
-0.545,-0.691,-0.090,3.950,-16.267,10.090
-0.551,-0.689,-0.090,3.845,-15.866,9.564
-0.556,-0.688,-0.090,3.864,-15.325,9.035
-0.561,-0.686,-0.088,4.026,-14.572,8.488
-0.567,-0.684,-0.086,4.301,-13.522,7.895
-0.571,-0.683,-0.085,4.586,-12.102,7.247
-0.576,-0.683,-0.084,4.835,-10.344,6.598
-0.580,-0.682,-0.084,5.004,-8.363,5.913
-0.586,-0.681,-0.085,5.019,-6.436,5.173
-0.592,-0.681,-0.086,4.869,-4.716,4.393
-0.597,-0.680,-0.088,4.613,-3.284,3.634
-0.603,-0.679,-0.090,4.285,-2.268,2.936
-0.609,-0.679,-0.092,3.924,-1.546,2.331
-0.615,-0.678,-0.094,3.564,-1.060,1.811
-0.621,-0.678,-0.095,3.256,-0.749,1.366
-0.626,-0.678,-0.096,3.061,-0.587,1.029
-0.631,-0.677,-0.096,2.991,-0.567,0.783
-0.635,-0.677,-0.095,3.051,-0.580,0.638
-0.639,-0.677,-0.095,3.308,-0.593,0.621
-0.643,-0.677,-0.094,3.678,-0.589,0.693
-0.647,-0.677,-0.094,4.113,-0.602,0.876
-0.650,-0.677,-0.094,4.567,-0.670,1.121
-0.653,-0.677,-0.094,4.983,-0.820,1.397
-0.657,-0.677,-0.094,5.342,-1.084,1.676
-0.660,-0.677,-0.093,5.619,-1.468,1.949
