-0.523,-0.563,-0.809,-16.252,38.676,5.324
-0.528,-0.562,-0.790,-15.986,36.851,5.099
-0.532,-0.560,-0.772,-16.654,35.223,4.831
-0.536,-0.556,-0.756,-18.840,33.968,4.425
-0.539,-0.552,-0.742,-22.662,33.056,3.715
-0.541,-0.550,-0.730,-27.751,32.345,2.896
-0.544,-0.550,-0.721,-32.842,31.847,2.073
-0.545,-0.552,-0.715,-37.271,31.458,1.342
-0.546,-0.555,-0.714,-40.485,31.149,0.838
-0.546,-0.558,-0.715,-42.406,30.871,0.560
-0.547,-0.562,-0.718,-43.138,30.490,0.511
-0.549,-0.564,-0.719,-42.927,29.978,0.787
-0.553,-0.564,-0.719,-42.076,29.359,1.264
-0.557,-0.559,-0.712,-41.085,28.620,1.731
-0.563,-0.553,-0.708,-40.137,27.760,2.032
-0.569,-0.544,-0.702,-39.475,26.849,2.015
-0.575,-0.537,-0.696,-39.123,25.949,1.784
-0.576,-0.530,-0.690,-39.022,25.107,1.348
-0.581,-0.524,-0.685,-39.032,24.373,0.730
-0.585,-0.521,-0.680,-38.889,23.753,0.095
-0.588,-0.519,-0.678,-38.470,23.208,-0.479
-0.591,-0.519,-0.676,-37.765,22.696,-0.927
-0.593,-0.519,-0.677,-36.712,22.204,-1.176
-0.595,-0.519,-0.677,-35.536,21.671,-1.289
-0.598,-0.517,-0.675,-34.250,21.045,-1.291
-0.601,-0.513,-0.672,-33.120,20.310,-1.295
-0.605,-0.508,-0.668,-32.122,19.476,-1.385
-0.608,-0.504,-0.663,-31.292,18.583,-1.569
-0.611,-0.500,-0.658,-30.646,17.703,-1.900
-0.614,-0.497,-0.653,-30.212,16.896,-2.318
-0.616,-0.496,-0.649,-29.876,16.225,-2.806
-0.618,-0.496,-0.645,-29.505,15.677,-3.271
-0.619,-0.498,-0.642,-28.946,15.256,-3.634
-0.620,-0.500,-0.640,-28.263,14.931,-3.881
-0.621,-0.501,-0.638,-27.483,14.724,-4.023
-0.621,-0.502,-0.637,-26.628,14.587,-4.053
-0.622,-0.502,-0.636,-25.760,14.477,-4.033
-0.624,-0.501,-0.635,-24.919,14.338,-3.981
-0.625,-0.499,-0.632,-24.174,14.178,-3.914
-0.627,-0.496,-0.631,-23.569,14.006,-3.876
-0.628,-0.495,-0.629,-23.065,13.827,-3.867
-0.630,-0.494,-0.627,-22.712,13.658,-3.862
-0.631,-0.492,-0.626,-22.487,13.492,-3.889
-0.632,-0.492,-0.624,-22.252,13.308,-3.926
-0.633,-0.491,-0.623,-21.965,13.136,-3.939
-0.634,-0.490,-0.623,-21.587,12.990,-3.936
-0.635,-0.490,-0.623,-21.125,12.861,-3.929
-0.636,-0.490,-0.624,-20.596,12.735,-3.904
-0.637,-0.489,-0.624,-20.015,12.593,-3.852
-0.638,-0.488,-0.625,-19.393,12.424,-3.792
-0.640,-0.487,-0.625,-18.777,12.219,-3.726
-0.641,-0.485,-0.624,-18.202,11.966,-3.684
-0.642,-0.483,-0.624,-17.697,11.679,-3.679
-0.644,-0.481,-0.623,-17.250,11.368,-3.704
-0.645,-0.479,-0.621,-16.891,11.042,-3.750
-0.646,-0.478,-0.620,-16.590,10.724,-3.816
-0.647,-0.478,-0.618,-16.289,10.417,-3.874
-0.648,-0.478,-0.617,-15.961,10.137,-3.913
-0.649,-0.477,-0.616,-15.604,9.889,-3.918
-0.649,-0.477,-0.616,-15.198,9.666,-3.898
-0.650,-0.478,-0.615,-14.774,9.452,-3.833
-0.651,-0.478,-0.615,-14.333,9.233,-3.748
-0.651,-0.477,-0.615,-13.867,9.010,-3.633
-0.652,-0.477,-0.614,-13.391,8.780,-3.514
-0.653,-0.476,-0.614,-12.911,8.555,-3.389
-0.653,-0.475,-0.613,-12.469,8.329,-3.274
-0.654,-0.474,-0.612,-12.067,8.107,-3.177
-0.654,-0.473,-0.611,-11.731,7.883,-3.106
-0.655,-0.472,-0.610,-11.437,7.667,-3.069
-0.655,-0.471,-0.609,-11.194,7.466,-3.051
-0.655,-0.471,-0.609,-10.977,7.267,-3.046
-0.655,-0.471,-0.609,-10.771,7.078,-3.042
-0.655,-0.471,-0.609,-10.565,6.901,-3.031
-0.655,-0.471,-0.610,-10.325,6.724,-3.010
-0.655,-0.471,-0.611,-10.014,6.540,-2.953
-0.654,-0.472,-0.612,-9.655,6.343,-2.837
-0.654,-0.473,-0.613,-9.238,6.127,-2.692
-0.654,-0.473,-0.613,-8.791,5.886,-2.529
-0.654,-0.473,-0.613,-8.324,5.645,-2.338
-0.654,-0.473,-0.613,-7.859,5.408,-2.149
-0.654,-0.472,-0.612,-7.447,5.186,-1.960
-0.653,-0.472,-0.612,-7.095,4.985,-1.793
-0.653,-0.471,-0.612,-6.799,4.805,-1.648
-0.653,-0.471,-0.612,-6.526,4.641,-1.504
