
0.458,-0.940,1.128,-2.703,4.097,2.489
0.412,-0.905,1.182,-4.973,1.510,3.741
0.388,-0.898,1.206,-4.264,-1.306,3.728
0.362,-0.888,1.203,-4.922,-2.194,1.882
0.337,-0.858,1.182,-11.867,-2.048,-0.188
0.322,-0.842,1.131,-22.648,-0.680,-3.139
0.314,-0.851,1.067,-28.998,2.537,-6.310
0.314,-0.863,1.017,-29.706,7.975,-7.865
0.305,-0.867,0.982,-29.494,14.087,-9.026
0.287,-0.868,0.954,-28.589,20.215,-10.291
0.268,-0.871,0.921,-27.253,25.065,-11.278
0.246,-0.880,0.877,-25.209,27.806,-11.559
0.223,-0.892,0.822,-22.549,28.291,-11.127
0.199,-0.905,0.758,-20.417,24.856,-10.294
0.174,-0.916,0.691,-19.101,14.919,-9.240
0.148,-0.927,0.622,-18.230,-3.215,-7.874
0.121,-0.936,0.553,-17.926,-28.303,-6.424
0.097,-0.941,0.495,-17.820,-51.066,-5.653
0.124,-0.941,0.614,-18.244,-36.786,-4.938
0.184,-0.905,0.749,-36.786,-34.055,-3.537
0.174,-0.903,0.787,-43.287,-35.683,-4.315
0.147,-0.947,0.800,-40.965,-34.724,-6.325
0.137,-0.938,0.791,-37.880,-34.128,-5.836
0.125,-0.913,0.771,-37.050,-34.411,-5.041
0.108,-0.895,0.741,-35.986,-35.286,-5.253
0.094,-0.884,0.710,-34.418,-36.083,-6.277
0.087,-0.881,0.689,-32.745,-36.526,-7.498
0.082,-0.879,0.673,-31.184,-36.687,-8.449
0.074,-0.879,0.661,-29.977,-36.629,-9.171
0.064,-0.882,0.653,-29.066,-36.355,-9.577
0.055,-0.886,0.648,-28.182,-35.820,-10.000
0.046,-0.890,0.644,-27.229,-35.081,-10.575
0.035,-0.894,0.639,-26.401,-34.264,-11.200
0.026,-0.899,0.632,-25.792,-33.439,-11.680
0.018,-0.903,0.622,-25.731,-32.628,-11.845
0.011,-0.907,0.612,-25.901,-31.866,-11.808
0.006,-0.911,0.601,-26.051,-31.118,-11.777
0.002,-0.914,0.589,-26.078,-30.355,-11.745
-0.001,-0.917,0.579,-25.959,-29.545,-11.629
-0.003,-0.921,0.569,-25.626,-28.675,-11.475
-0.006,-0.925,0.560,-25.074,-27.766,-11.209
-0.009,-0.929,0.551,-24.312,-26.821,-10.768
-0.011,-0.932,0.544,-23.433,-25.884,-10.329
-0.014,-0.934,0.537,-22.559,-24.973,-9.860
-0.018,-0.935,0.530,-21.741,-24.091,-9.376
-0.023,-0.935,0.524,-21.055,-23.238,-8.897
-0.028,-0.935,0.518,-20.501,-22.418,-8.406
-0.034,-0.934,0.513,-20.068,-21.626,-7.973
-0.040,-0.932,0.508,-19.758,-20.866,-7.607
-0.046,-0.931,0.503,-19.471,-20.113,-7.258
-0.052,-0.930,0.498,-19.139,-19.350,-6.914
-0.057,-0.930,0.494,-18.739,-18.613,-6.607
-0.062,-0.929,0.490,-18.283,-17.920,-6.315
-0.067,-0.930,0.486,-17.790,-17.288,-6.048
-0.071,-0.931,0.483,-17.249,-16.697,-5.799
-0.075,-0.932,0.480,-16.680,-16.136,-5.569
-0.078,-0.933,0.477,-16.118,-15.614,-5.354
-0.082,-0.934,0.473,-15.597,-15.134,-5.158
-0.085,-0.935,0.469,-15.125,-14.675,-4.982
-0.088,-0.935,0.465,-14.705,-14.235,-4.832
-0.091,-0.935,0.460,-14.317,-13.808,-4.700
-0.094,-0.935,0.456,-13.904,-13.399,-4.583
-0.096,-0.935,0.452,-13.396,-13.002,-4.462
-0.098,-0.935,0.449,-12.853,-12.630,-4.333
-0.100,-0.935,0.447,-12.307,-12.302,-4.213
-0.102,-0.935,0.445,-11.789,-12.027,-4.123
-0.104,-0.935,0.442,-11.303,-11.789,-4.050
-0.105,-0.936,0.440,-10.868,-11.595,-3.983
-0.107,-0.936,0.437,-10.477,-11.427,-3.927
-0.108,-0.937,0.433,-10.147,-11.276,-3.890
-0.109,-0.937,0.430,-9.830,-11.121,-3.864
-0.111,-0.937,0.426,-9.512,-10.972,-3.839
-0.112,-0.937,0.423,-9.183,-10.839,-3.805
-0.113,-0.937,0.420,-8.850,-10.718,-3.768
-0.114,-0.937,0.417,-8.513,-10.613,-3.736
-0.115,-0.937,0.414,-8.149,-10.524,-3.709
-0.116,-0.937,0.412,-7.711,-10.440,-3.679
-0.117,-0.938,0.409,-7.236,-10.355,-3.630
-0.118,-0.938,0.406,-6.770,-10.260,-3.581
-0.118,-0.939,0.404,-6.335,-10.157,-3.554
-0.120,-0.939,0.401,-5.956,-10.067,-3.557
-0.121,-0.939,0.399,-5.655,-9.990,-3.563
-0.122,-0.940,0.397,-5.430,-9.915,-3.560
-0.123,-0.940,0.395,-5.277,-9.826,-3.566
-0.124,-0.940,0.393,-5.156,-9.715,-3.583
-0.125,-0.940,0.391,-5.034,-9.593,-3.600
-0.126,-0.939,0.389,-4.888,-9.453,-3.614
-0.127,-0.939,0.388,-4.720,-9.283,-3.622
-0.128,-0.939,0.387,-4.538,-9.082,-3.622
-0.129,-0.939,0.386,-4.360,-8.860,-3.630
-0.130,-0.938,0.385,-4.174,-8.629,-3.658
-0.131,-0.938,0.383,-3.990,-8.391,-3.692
-0.133,-0.938,0.382,-3.821,-8.150,-3.715
-0.133,-0.939,0.381,-3.654,-7.910,-3.741
-0.134,-0.939,0.379,-3.476,-7.664,-3.775
-0.135,-0.939,0.378,-3.287,-7.423,-3.825
-0.136,-0.939,0.377,-3.087,-7.203,-3.893
-0.137,-0.940,0.376,-2.877,-7.007,-3.946
-0.137,-0.940,0.375,-2.658,-6.831,-3.982
-0.137,-0.941,0.375,-2.424,-6.669,-4.014
-0.137,-0.942,0.374,-2.200,-6.525,-4.060
-0.138,-0.942,0.373,-2.007,-6.423,-4.107
-0.138,-0.943,0.373,-1.840,-6.341,-4.138
-0.138,-0.943,0.372,-1.670,-6.279,-4.160
-0.138,-0.943,0.372,-1.483,-6.242,-4.171
-0.138,-0.943,0.371,-1.281,-6.232,-4.189
-0.138,-0.943,0.371,-1.065,-6.251,-4.187
-0.138,-0.943,0.371,-0.830,-6.301,-4.168
-0.138,-0.943,0.372,-0.573,-6.381,-4.135
-0.138,-0.943,0.372,-0.309,-6.514,-4.089
-0.138,-0.942,0.373,-0.042,-6.693,-4.042
-0.138,-0.942,0.374,0.219,-6.919,-3.992
-0.138,-0.942,0.375,0.458,-7.217,-3.942
-0.138,-0.942,0.376,0.653,-7.557,-3.883
-0.138,-0.941,0.377,0.824,-7.929,-3.810
-0.138,-0.941,0.378,1.001,-8.327,-3.738
-0.138,-0.940,0.378,1.158,-8.749,-3.658
-0.137,-0.939,0.379,1.278,-9.185,-3.579
-0.137,-0.939,0.380,1.340,-9.636,-3.514

0.710,-0.945,0.918,-0.454,34.889,2.571
0.651,-0.909,1.004,-6.406,38.279,2.664
0.604,-0.892,1.010,-4.271,37.738,0.929
0.572,-0.893,1.015,-3.461,35.195,0.497
0.538,-0.900,1.016,-3.589,28.973,-0.007
0.508,-0.896,0.994,-4.989,18.957,-0.407
0.487,-0.896,0.952,-5.834,11.729,-0.377
0.477,-0.905,0.922,-6.259,6.075,-0.034
0.466,-0.908,0.899,-6.973,0.904,0.085
0.451,-0.908,0.878,-7.506,-3.213,-0.072
0.435,-0.905,0.859,-7.454,-5.859,-0.303
0.417,-0.899,0.845,-7.220,-7.767,-0.513
0.399,-0.894,0.830,-6.929,-9.184,-0.811
0.381,-0.896,0.814,-6.456,-10.065,-1.023
0.365,-0.901,0.798,-6.089,-10.377,-1.228
0.350,-0.907,0.780,-5.791,-10.312,-1.420
